time;tmp;mslp;sp;tp;irradiance
2022-08-19 23:00:00;18.391998291015625;1022.4481201171875;932.5505981445312;1.33514404296875e-05;0.0
2022-08-20 00:00:00;17.440826416015625;1022.61376953125;932.6099853515625;9.059906005859375e-06;0.0
2022-08-20 01:00:00;17.058013916015625;1022.197509765625;932.1643676757812;8.106231689453125e-06;0.0
2022-08-20 02:00:00;16.273590087890625;1021.7274780273438;931.7056274414062;2.384185791015625e-06;0.0
2022-08-20 03:00:00;16.482208251953125;1021.4012451171875;931.3812255859375;2.288818359375e-05;0.0
2022-08-20 04:00:00;15.892730712890625;1021.5643920898438;931.5062255859375;1.811981201171875e-05;0.0
2022-08-20 05:00:00;15.306427001953125;1021.6212768554688;931.5656127929688;3.7670135498046875e-05;0.0
2022-08-20 06:00:00;15.618072509765625;1022.6412353515625;932.498779296875;1.430511474609375e-05;0.0
2022-08-20 07:00:00;17.396759033203125;1022.8587646484375;932.7218627929688;1.9073486328125e-06;65.7955551147461
2022-08-20 08:00:00;18.613922119140625;1023.2437744140625;933.2237548828125;1.9073486328125e-06;236.0177764892578
2022-08-20 09:00:00;20.735504150390625;1023.6181030273438;933.7743530273438;0.0;487.1111145019531
2022-08-20 10:00:00;22.045806884765625;1023.2449951171875;933.6212768554688;0.0;682.3822021484375
2022-08-20 11:00:00;23.475494384765625;1022.47998046875;933.0556030273438;0.0;819.413330078125
2022-08-20 12:00:00;25.480621337890625;1021.389404296875;932.1937255859375;0.0;830.6844482421875
2022-08-20 13:00:00;26.089263916015625;1020.8331298828125;931.751220703125;0.0;832.2311401367188
2022-08-20 14:00:00;25.193756103515625;1019.7431030273438;930.8074951171875;4.76837158203125e-07;481.9200134277344
2022-08-20 15:00:00;24.700347900390625;1019.3912353515625;930.4862670898438;1.430511474609375e-06;385.3333435058594
2022-08-20 16:00:00;24.251617431640625;1019.5505981445312;930.6218872070312;0.0;334.04443359375
